cluster_id,customer_count,geometry
893ca826403ffff,26,"POLYGON ((86.33555816357114 23.69436798156021, 86.33755291189436 23.69400978352097, 86.33896443450757 23.69540524206129, 86.33838118630239 23.69715889529532, 86.33979273462018 23.69855432474851, 86.33920948239508 23.70030793317448, 86.33721467462033 23.70066609977658, 86.33663141114354 23.70241965101811, 86.3346366146156 23.70277776378099, 86.33405333988951 23.70453125783139, 86.33205855461649 23.70488931675063, 86.33064707380109 23.70349389734423, 86.33123035575105 23.70174041566781, 86.32981890064397 23.70034496716963, 86.32782418609925 23.70070300370025, 86.32641277921491 23.6993075294707, 86.32699606435943 23.69755401536055, 86.32899074917157 23.69719596309783, 86.32957402307467 23.69544239179895, 86.33156871915666 23.69508428569932, 86.33215198181595 23.6933306572184, 86.33414668915978 23.69297249728628, 86.33555816357114 23.69436798156021))"
893ca9c126fffff,42,"POLYGON ((86.43197836437439 23.85011436785359, 86.43339183572475 23.85150809191524, 86.43538862568171 23.85114989308542, 86.43680214504722 23.85254359087647, 86.43621885214151 23.85429548409786, 86.43763239720572 23.85568915221084, 86.43704910031363 23.85744100019959, 86.43846267107682 23.85883463862456, 86.43787937019857 23.86058644137232, 86.4358824911825 23.86094459354777, 86.43529917894357 23.86269633890157, 86.43330231088312 23.86305443708365, 86.43271898728585 23.86480612503681, 86.43072213018918 23.86516416922113, 86.42930862638197 23.86377054100909, 86.42731180995051 23.86412854675217, 86.42589835417743 23.86273489225489, 86.42390157842389 23.86309285956134, 86.422488170693 23.86169917878798, 86.42307151637606 23.85994752730055, 86.42506826243398 23.85958954442625, 86.42565159676899 23.85783783553386, 86.42423819240314 23.85644412167828, 86.42482152274707 23.85469236754908, 86.42681825009863 23.85433431511352, 86.42740156909316 23.85258250359122, 86.42939830742586 23.85222439716827, 86.42998161506866 23.85047252825951, 86.43197836437439 23.85011436785359))"
893ca9c80d3ffff,47,"POLYGON ((86.4117239967088 23.78125064564898, 86.41372009287274 23.78089214255142, 86.41430330136771 23.77913922350786, 86.41629940854756 23.7787806665132, 86.41771233691685 23.7801750441526, 86.41970848478778 23.77981644885161, 86.42112146118704 23.78121080040534, 86.42053826737909 23.78296374389625, 86.41854208982484 23.78332232361249, 86.41795888467922 23.7850752098414, 86.41937186443386 23.78646952857276, 86.41878865529665 23.78822236975267, 86.41679245905989 23.78858087998196, 86.41620923858635 23.79033366388796, 86.41421305335854 23.79069212020902, 86.41280011829348 23.78929780821422, 86.41080397377303 23.78965622621692, 86.40939108675792 23.78826188813021, 86.40997432190746 23.78650912867109, 86.40856146058869 23.78511476113076, 86.40914469174301 23.78336195662369, 86.40773185612028 23.78196755963972, 86.40831508327915 23.78021471009305, 86.4103111387289 23.77985624529791, 86.4117239967088 23.78125064564898))"
893ca9c8117ffff,74,"POLYGON ((86.44864475913802 23.79439468079978, 86.44922789798953 23.79264168477134, 86.45122444117169 23.79228276004325, 86.45180756865477 23.79052970676584, 86.45039416034511 23.78913559039627, 86.45097728384907 23.78738249205531, 86.45297380827218 23.78702349790475, 86.45438723885057 23.78841761762881, 86.45380412273829 23.79017072814849, 86.45521757899802 23.79156481834061, 86.45721417363292 23.79120580136634, 86.4586276778347 23.79259986537181, 86.45804456514232 23.79435294299584, 86.4594580950247 23.79574697745096, 86.45887497835602 23.79750000999683, 86.46028853391928 23.79889401489162, 86.46228522840462 23.7985349905962, 86.46369883189996 23.79992896927829, 86.46311571866021 23.80168196889782, 86.46111899451896 23.80204097767549, 86.46053586989841 23.80379392003992, 86.45853915663071 23.80415287491864, 86.4579560206317 23.80590576002131, 86.45595931824563 23.80626466099665, 86.45537617087052 23.80801748883087, 86.45337947937421 23.80837633589841, 86.45196596491704 23.80698237066018, 86.45254911968686 23.8052295549905, 86.45113563091461 23.80383556017743, 86.44913900964653 23.80419438439956, 86.44855584748667 23.80594718790012, 86.44655923712916 23.80630595821301, 86.44514581860015 23.80491194056445, 86.44572898814535 23.8031591492376, 86.44431559530327 23.80176510203107, 86.44489876086664 23.80001226560824, 86.44689531188921 23.79965346421469, 86.4474784660878 23.79790057052428, 86.4460650766477 23.79650649040698, 86.44664822686531 23.79475355163419, 86.44864475913802 23.79439468079978))"
893ca9c811bffff,48,"POLYGON ((86.44864475913802 23.79439468079978, 86.44664822686531 23.79475355163419, 86.4460650766477 23.79650649040698, 86.4474784660878 23.79790057052428, 86.44689531188921 23.79965346421469, 86.44489876086664 23.80001226560824, 86.44348539371121 23.79861818885371, 86.44148888328165 23.79897695188747, 86.44007556410433 23.79758284895842, 86.44065873306366 23.79582997963252, 86.4392454395737 23.79443584717386, 86.43982860454946 23.79268293277183, 86.43841533674663 23.79128877079355, 86.43899849773857 23.78953581132374, 86.44099491915908 23.78917700164101, 86.44157806879285 23.78742398491789, 86.44357450114596 23.78706512134374, 86.44415763941917 23.78531204737398, 86.44615408269678 23.78495312991286, 86.44756741736505 23.78634730196578, 86.44956390122177 23.78598834616223, 86.45014702074639 23.78423520276609, 86.45214351550911 23.78387619308072, 86.4535569204064 23.78527034232675, 86.45297380827218 23.78702349790475, 86.45097728384907 23.78738249205531, 86.45039416034511 23.78913559039627, 86.45180756865477 23.79052970676584, 86.45122444117169 23.79228276004325, 86.44922789798953 23.79264168477134, 86.44864475913802 23.79439468079978))"
893ca9c812fffff,31,"POLYGON ((86.45297380827218 23.78702349790475, 86.4535569204064 23.78527034232675, 86.45214351550911 23.78387619308072, 86.45272662366501 23.78212299245276, 86.45472312932561 23.78176392889, 86.45613655648718 23.78315808148671, 86.45813310269331 23.78279897957837, 86.45871619208097 23.78104570954635, 86.46071274916649 23.78068655376575, 86.46212624651663 23.78208068353969, 86.46154316453091 23.78383396574609, 86.4629566875586 23.78522806599267, 86.46237360159826 23.78698130314809, 86.46378715030376 23.78837537385733, 86.46320406036899 23.79012856595342, 86.46120741432303 23.7904876751726, 86.46062431300827 23.79224081003602, 86.46203786514413 23.79363484784567, 86.46145475985413 23.79538793763614, 86.4594580950247 23.79574697745096, 86.45804456514232 23.79435294299584, 86.4586276778347 23.79259986537181, 86.45721417363292 23.79120580136634, 86.45521757899802 23.79156481834061, 86.45380412273829 23.79017072814849, 86.45438723885057 23.78841761762881, 86.45297380827218 23.78702349790475))"
893ca9c8143ffff,32,"POLYGON ((86.44357450114596 23.78706512134374, 86.44157806879285 23.78742398491789, 86.44016480438138 23.78602979007099, 86.43816841263047 23.7863886153066, 86.43675519620108 23.78499439431895, 86.43475884506508 23.78535318122061, 86.43334567662573 23.78395893410138, 86.43392883701746 23.78220589672277, 86.43592515848161 23.78184709426132, 86.43733834922469 23.78324134473871, 86.43933471130602 23.78288250394864, 86.43991785297357 23.78112939712554, 86.44191422599212 23.78077050245148, 86.44249735630123 23.77901733839224, 86.44449374024894 23.77865838983862, 86.44590702355131 23.78005262089174, 86.44532390062191 23.78180579714516, 86.44673720960709 23.78319999870316, 86.44873366380114 23.78284102735949, 86.45014702074639 23.78423520276609, 86.44956390122177 23.78598834616223, 86.44756741736505 23.78634730196578, 86.44615408269678 23.78495312991286, 86.44415763941917 23.78531204737398, 86.44357450114596 23.78706512134374))"
893ca9c822bffff,39,"POLYGON ((86.425046829518 23.75248244352311, 86.425629950041 23.75072895612584, 86.4276259747882 23.75036999797843, 86.42903890868278 23.75176454280453, 86.43103497407004 23.75140554638165, 86.43244795595761 23.75280006515989, 86.43444406197224 23.75244103045693, 86.43585709184482 23.75383552317817, 86.43527399340158 23.75558904726052, 86.43668704895582 23.75698351057487, 86.43610394652849 23.75873698968366, 86.43751702776466 23.76013142358116, 86.43693392135354 23.761884857708, 86.43493772633788 23.76224384572025, 86.43435460857465 23.76399722264237, 86.43235842451013 23.76435615679291, 86.43177529539719 23.76610947650364, 86.4297791222919 23.76646835678805, 86.42836610797244 23.7650739329307, 86.42636997550848 23.76543277491764, 86.42495700919299 23.76403832498858, 86.42554015302203 23.76228502972327, 86.42753625581199 23.7619261721616, 86.4281193882981 23.76017281968198, 86.42670642534976 23.75877833699173, 86.42728955384841 23.75702493953118, 86.42587661658527 23.75563042743945, 86.42645974109622 23.75387698500634, 86.425046829518 23.75248244352311))"
893ca9c8307ffff,9,"POLYGON ((86.45398151954714 23.76706110439165, 86.45539486625572 23.7684553783128, 86.45481179277418 23.77020882845247, 86.45281536519086 23.77056799247998, 86.45223228033909 23.77232138541696, 86.45023586365251 23.77268049558264, 86.44882256147683 23.77128622834842, 86.44682618535539 23.77164530018907, 86.44541293113576 23.77025100682804, 86.4459960307601 23.7684976382815, 86.44799237722131 23.76813855089802, 86.44940565371724 23.76953284760437, 86.45140204074586 23.76917372190117, 86.45198512161944 23.76742028395295, 86.45398151954714 23.76706110439165))"
893ca9c8313ffff,27,"POLYGON ((86.45198512161944 23.76742028395295, 86.45140204074586 23.76917372190117, 86.44940565371724 23.76953284760437, 86.44799237722131 23.76813855089802, 86.4459960307601 23.7684976382815, 86.44541293113576 23.77025100682804, 86.44682618535539 23.77164530018907, 86.44624308175052 23.77339862372228, 86.44424671654436 23.77375764169595, 86.44283348460678 23.77236335168251, 86.44083715998883 23.77272233133502, 86.43942397602231 23.77132801520467, 86.44000709438349 23.76957471607395, 86.44200338933655 23.7692157208696, 86.44258649634011 23.76746236452512, 86.44117331576625 23.76606801559125, 86.44175641878776 23.76431461424495, 86.44375269500634 23.76395554962686, 86.44516589786478 23.76534990190526, 86.44716221466577 23.76499079897737, 86.447745298947 23.7632373282255, 86.44974162665979 23.76287817144248, 86.4511548997481 23.7642725009525, 86.45057182285294 23.76602598390357, 86.45198512161944 23.76742028395295))"
893ca9c8393ffff,35,"POLYGON ((86.44166724729459 23.77586987211389, 86.4410841209679 23.77762308120533, 86.44249735630123 23.77901733839224, 86.44191422599212 23.78077050245148, 86.43991785297357 23.78112939712554, 86.43933471130602 23.78288250394864, 86.43733834922469 23.78324134473871, 86.43592515848161 23.78184709426132, 86.43392883701746 23.78220589672277, 86.43251569426545 23.78081162012227, 86.4305194134312 23.78117038425968, 86.42993624567605 23.78292340943209, 86.42793997580797 23.78328211967968, 86.4265269033727 23.78188782032484, 86.42711007848658 23.78013480736322, 86.42910631867819 23.77977608154523, 86.42968948244629 23.77802301133642, 86.42827641338131 23.77662867915909, 86.42885957316203 23.77487556392223, 86.42744652978485 23.773481202292, 86.425450348946 23.77383995925563, 86.42403735357782 23.77244557153753, 86.4246205167258 23.77069242350119, 86.42661666788833 23.77033365096233, 86.428029685578 23.77172804203548, 86.43002587738995 23.77136923119314, 86.43143894308166 23.77276359617768, 86.43085579464807 23.77451676864981, 86.43226888602628 23.77591110418297, 86.43426514814676 23.77555227059715, 86.43567828751799 23.77694658002407, 86.43767459026027 23.77658770812025, 86.43825772396065 23.77483451123066, 86.44025403764479 23.77447558545029, 86.44166724729459 23.77586987211389))"
893ca9c83a7ffff,64,"POLYGON ((86.45281536519086 23.77056799247998, 86.45481179277418 23.77020882845247, 86.45622516516025 23.77160307289457, 86.45564208770182 23.7733564780199, 86.45705548576564 23.77475069297299, 86.45905198354431 23.77439150614344, 86.46046542954016 23.7757856949422, 86.45988235550445 23.77753906722542, 86.46129582717734 23.77893322651676, 86.46071274916649 23.78068655376575, 86.45871619208097 23.78104570954635, 86.45813310269331 23.78279897957837, 86.45613655648718 23.78315808148671, 86.45472312932561 23.78176392889, 86.45272662366501 23.78212299245276, 86.45214351550911 23.78387619308072, 86.45014702074639 23.78423520276609, 86.44873366380114 23.78284102735949, 86.44673720960709 23.78319999870316, 86.44532390062191 23.78180579714516, 86.44590702355131 23.78005262089174, 86.44449374024894 23.77865838983862, 86.44249735630123 23.77901733839224, 86.4410841209679 23.77762308120533, 86.44166724729459 23.77586987211389, 86.4436636015774 23.77551090801163, 86.44507685919724 23.77690516854991, 86.44707325406601 23.77654616612118, 86.44765636165116 23.77479288760966, 86.44624308175052 23.77339862372228, 86.44682618535539 23.77164530018907, 86.44882256147683 23.77128622834842, 86.45023586365251 23.77268049558264, 86.45223228033909 23.77232138541696, 86.45281536519086 23.77056799247998))"
893ca9c83c3ffff,43,"POLYGON ((86.43085579464807 23.77451676864981, 86.43143894308166 23.77276359617768, 86.43002587738995 23.77136923119314, 86.43060902183704 23.76961601370659, 86.4291959818316 23.76822161928065, 86.42719981969366 23.7685804456945, 86.4257868276912 23.76718602518841, 86.42636997550848 23.76543277491764, 86.42836610797244 23.7650739329307, 86.4297791222919 23.76646835678805, 86.43177529539719 23.76610947650364, 86.43235842451013 23.76435615679291, 86.43435460857465 23.76399722264237, 86.43576769319444 23.76539162376706, 86.43776391787718 23.76503265131519, 86.43834702827189 23.76327926217869, 86.44034326389537 23.76292023586582, 86.44175641878776 23.76431461424495, 86.44117331576625 23.76606801559125, 86.44258649634011 23.76746236452512, 86.44200338933655 23.7692157208696, 86.44000709438349 23.76957471607395, 86.43942397602231 23.77132801520467, 86.44083715998883 23.77272233133502, 86.44283348460678 23.77236335168251, 86.44424671654436 23.77375764169595, 86.4436636015774 23.77551090801163, 86.44166724729459 23.77586987211389, 86.44025403764479 23.77447558545029, 86.43825772396065 23.77483451123066, 86.43767459026027 23.77658770812025, 86.43567828751799 23.77694658002407, 86.43426514814676 23.77555227059715, 86.43226888602628 23.77591110418297, 86.43085579464807 23.77451676864981))"
893ca9c840fffff,124,"POLYGON ((86.41080397377303 23.78965622621692, 86.41280011829348 23.78929780821422, 86.41421305335854 23.79069212020902, 86.41362982155094 23.79244484683442, 86.41504278231162 23.7938391293572, 86.41445954651057 23.79559181091477, 86.41587253296713 23.79698606395555, 86.41528929317288 23.79873870043696, 86.41329305958145 23.79909707166167, 86.4127098084534 23.80084965084533, 86.41071358588248 23.80120796814559, 86.4093006441334 23.79981372185649, 86.40730446228606 23.80017200082634, 86.40589156859899 23.79877772842995, 86.40647483439444 23.79702517368642, 86.40506196640671 23.79563087181342, 86.40564522820533 23.79387827199474, 86.40423238591671 23.79248394065512, 86.40481564371825 23.79073129576965, 86.40681173648079 23.79037296999477, 86.40739498295751 23.78862026781914, 86.40939108675792 23.78826188813021, 86.41080397377303 23.78965622621692))"
893ca9c842bffff,102,"POLYGON ((86.41937186443386 23.78646952857276, 86.41795888467922 23.7850752098414, 86.41854208982484 23.78332232361249, 86.42053826737909 23.78296374389625, 86.42112146118704 23.78121080040534, 86.42311764973637 23.78085216679342, 86.42453067415764 23.78224649225228, 86.4239474877003 23.78399944796002, 86.42536053781211 23.78539374395297, 86.42477734736555 23.78714665461381, 86.42619042316819 23.78854092113087, 86.42560722873264 23.79029378673646, 86.4270203302264 23.79168802376766, 86.4264371318021 23.79344084430965, 86.4244408245284 23.79379941561346, 86.42302774536134 23.79240518194946, 86.4210314787569 23.79276371492107, 86.42044826163728 23.79451646597793, 86.42186131847197 23.79591069627248, 86.42127809736148 23.79766340225525, 86.41928181206752 23.79802186573361, 86.41869857961748 23.79977451442677, 86.41670230532553 23.80013292398579, 86.41528929317288 23.79873870043696, 86.41587253296713 23.79698606395555, 86.41445954651057 23.79559181091477, 86.41504278231162 23.7938391293572, 86.41362982155094 23.79244484683442, 86.41421305335854 23.79069212020902, 86.41620923858635 23.79033366388796, 86.41679245905989 23.78858087998196, 86.41878865529665 23.78822236975267, 86.41937186443386 23.78646952857276))"
893ca9c8443ffff,96,"POLYGON ((86.40481564371825 23.79073129576965, 86.40423238591671 23.79248394065512, 86.40564522820533 23.79387827199474, 86.40506196640671 23.79563087181342, 86.40647483439444 23.79702517368642, 86.40589156859899 23.79877772842995, 86.40389542748794 23.79913596907399, 86.40331215036788 23.80088846651025, 86.40131602030627 23.80124665322401, 86.39990319706543 23.7998523581102, 86.39790710776319 23.80021050650208, 86.39732381200112 23.80196293439456, 86.39532773376682 23.80232102885106, 86.39391498099991 23.80092671103277, 86.39449828407713 23.79917429537467, 86.39649433260728 23.79881618530007, 86.39707762436912 23.79706371232513, 86.39566487491578 23.79566936166187, 86.39624816267713 23.79391684361282, 86.39483543892614 23.79252246349829, 86.39541872268677 23.79076990038351, 86.39741472288358 23.7904117051436, 86.39799799532858 23.78865908472908, 86.39658527489259 23.78726467179638, 86.3971685433377 23.7855120063297, 86.39916452490185 23.7851537415544, 86.39974778203003 23.7834010187999, 86.4017437746552 23.78304270011287, 86.40232702046407 23.78128992007723, 86.40432302414212 23.78093154748284, 86.40573581170493 23.78232597053264, 86.40773185612028 23.78196755963972, 86.40914469174301 23.78336195662369, 86.40856146058869 23.78511476113076, 86.40997432190746 23.78650912867109, 86.40939108675792 23.78826188813021, 86.40739498295751 23.78862026781914, 86.40681173648079 23.79037296999477, 86.40481564371825 23.79073129576965))"
893ca9c849bffff,117,"POLYGON ((86.40497135247146 23.80718183465293, 86.40638427519131 23.80857604468322, 86.40838050539428 23.80821785084566, 86.40979347618111 23.8096120347525, 86.4092101944006 23.8113644091119, 86.40721393450025 23.81172258735049, 86.40663064139093 23.81347490438168, 86.40463439253075 23.81383302867519, 86.40322146648076 23.81243885153973, 86.40122525837083 23.81279693749009, 86.3998123804018 23.81140273423264, 86.39781621305484 23.81176078184448, 86.39640338317473 23.81036655247423, 86.39698669825518 23.80861427210429, 86.39557389407975 23.80722001324138, 86.39615720515933 23.80546768776703, 86.39474442668831 23.80407339942146, 86.39532773376682 23.80232102885106, 86.39732381200112 23.80196293439456, 86.39790710776319 23.80021050650208, 86.39990319706543 23.7998523581102, 86.40131602030627 23.80124665322401, 86.40331215036788 23.80088846651025, 86.40472502168565 23.80228273552665, 86.40414174056795 23.80403518787416, 86.40555463758662 23.80542942740249, 86.40497135247146 23.80718183465293))"
893ca9c84bbffff,143,"POLYGON ((86.40979347618111 23.8096120347525, 86.40838050539428 23.80821785084566, 86.40638427519131 23.80857604468322, 86.40497135247146 23.80718183465293, 86.40555463758662 23.80542942740249, 86.40414174056795 23.80403518787416, 86.40472502168565 23.80228273552665, 86.40331215036788 23.80088846651025, 86.40389542748794 23.79913596907399, 86.40589156859899 23.79877772842995, 86.40730446228606 23.80017200082634, 86.4093006441334 23.79981372185649, 86.41071358588248 23.80120796814559, 86.4127098084534 23.80084965084533, 86.41412279825647 23.80224387101793, 86.41353954313443 23.80399640511182, 86.41154329087077 23.80435470681891, 86.41096002441626 23.80610718360319, 86.4123730175629 23.8075013708923, 86.41178974711354 23.80925380257322, 86.40979347618111 23.8096120347525))"
893ca9c853bffff,65,"POLYGON ((86.43117019106667 23.8074224181935, 86.42975696111341 23.8060283287411, 86.43034017549037 23.80427568853716, 86.42892697122956 23.80288156954908, 86.42693057491226 23.80324009413865, 86.42551741866652 23.80184594899661, 86.42610063641401 23.80009327589367, 86.42809700305006 23.79973473573428, 86.4295101816187 23.80112888424809, 86.43150658890676 23.80077030574129, 86.43291981548344 23.80216442810041, 86.4349162634108 23.8018058112416, 86.43549945508366 23.80005305646332, 86.43749591396329 23.79969438569242, 86.43890921084321 23.80108848525569, 86.440905710339 23.80072977612889, 86.442319055204 23.80212384951838, 86.44173587827821 23.80387662866695, 86.44314924883112 23.80527067250692, 86.44514581860015 23.80491194056445, 86.44655923712916 23.80630595821301, 86.44597606360242 23.80805870443553, 86.44397946416359 23.80841742083477, 86.44339627927231 23.81017010977256, 86.44139969076025 23.81052877225372, 86.43998631681278 23.80913476134359, 86.43798976891006 23.80949338545289, 86.43740656528153 23.81124600492126, 86.4354100283241 23.81160457510736, 86.43399672467309 23.81021054138063, 86.43457993567196 23.80845793409489, 86.43316665771266 23.80706387081408, 86.43117019106667 23.8074224181935))"
893ca9c8573ffff,39,"POLYGON ((86.44007556410433 23.79758284895842, 86.43807909428055 23.79794157363699, 86.43749591396329 23.79969438569242, 86.43549945508366 23.80005305646332, 86.4349162634108 23.8018058112416, 86.43291981548344 23.80216442810041, 86.43150658890676 23.80077030574129, 86.4295101816187 23.80112888424809, 86.42809700305006 23.79973473573428, 86.42868020945114 23.7979820053446, 86.42726705657439 23.79658782731503, 86.42785025898721 23.79483505184501, 86.4264371318021 23.79344084430965, 86.4270203302264 23.79168802376766, 86.42901664847781 23.79132939855777, 86.42959983555548 23.78957652074619, 86.43159616477651 23.78921784163462, 86.43300933659525 23.79061205590065, 86.43242615688017 23.79236494591362, 86.433839354388 23.7937591306769, 86.43583575391902 23.79340042879024, 86.4364189262668 23.79164752658045, 86.43841533674663 23.79128877079355, 86.43982860454946 23.79268293277183, 86.4392454395737 23.79443584717386, 86.44065873306366 23.79582997963252, 86.44007556410433 23.79758284895842))"
893ca9c858fffff,61,"POLYGON ((86.4236778476868 23.81865420113212, 86.42426110408339 23.81690182309026, 86.42284791541198 23.81550777331929, 86.42343116781808 23.81375535014801, 86.42542760154136 23.81339696455572, 86.42601084260262 23.81164448406869, 86.42800728730825 23.81128604454293, 86.4285905170223 23.80953350674681, 86.42717730938944 23.80813942066922, 86.42776053511487 23.80638683776248, 86.42975696111341 23.8060283287411, 86.43117019106667 23.8074224181935, 86.43316665771266 23.80706387081408, 86.43457993567196 23.80845793409489, 86.43399672467309 23.81021054138063, 86.4354100283241 23.81160457510736, 86.43482681333919 23.81335713727621, 86.43624014268218 23.81475114143888, 86.43565692371146 23.81650365848249, 86.43366036802838 23.8168621591829, 86.43307713770257 23.81861461891509, 86.43108059297863 23.81897306567976, 86.4304973513001 23.82072546809387, 86.43191066171043 23.82211943592302, 86.4313274160442 23.82387179319309, 86.42933085260381 23.82423017045374, 86.42791756451456 23.82283620600774, 86.42592104173328 23.82319454488768, 86.4245078016681 23.82180055424699, 86.42509106205497 23.82004822134293, 86.4236778476868 23.81865420113212))"
893ca9c85dbffff,174,"POLYGON ((86.42527071961956 23.79694638304582, 86.42726705657439 23.79658782731503, 86.42868020945114 23.7979820053446, 86.42809700305006 23.79973473573428, 86.42610063641401 23.80009327589367, 86.42551741866652 23.80184594899661, 86.42693057491226 23.80324009413865, 86.42892697122956 23.80288156954908, 86.43034017549037 23.80427568853716, 86.42975696111341 23.8060283287411, 86.42776053511487 23.80638683776248, 86.42717730938944 23.80813942066922, 86.4285905170223 23.80953350674681, 86.42800728730825 23.81128604454293, 86.42601084260262 23.81164448406869, 86.42542760154136 23.81339696455572, 86.42343116781808 23.81375535014801, 86.42201800484315 23.81236127082682, 86.42002161179853 23.81271961805895, 86.41860849685865 23.81132551257759, 86.41919175262338 23.80957305648446, 86.4177786633807 23.80817892147129, 86.41578234071797 23.80853724593249, 86.41436929951929 23.80714308477674, 86.4123730175629 23.8075013708923, 86.41096002441626 23.80610718360319, 86.41154329087077 23.80435470681891, 86.41353954313443 23.80399640511182, 86.41412279825647 23.80224387101793, 86.4127098084534 23.80084965084533, 86.41329305958145 23.79909707166167, 86.41528929317288 23.79873870043696, 86.41670230532553 23.80013292398579, 86.41869857961748 23.79977451442677, 86.41928181206752 23.79802186573361, 86.42127809736148 23.79766340225525, 86.42186131847197 23.79591069627248, 86.42385761475984 23.79555217887917, 86.42527071961956 23.79694638304582))"
893ca9c8693ffff,37,"POLYGON ((86.38860149664055 23.78869733079859, 86.38718889479128 23.78730286914456, 86.38519301696923 23.78766094949428, 86.38378046323174 23.78626646180492, 86.38436376490718 23.78451389038717, 86.38635961302067 23.78415579440229, 86.38777218916616 23.78555028547076, 86.38976807808619 23.78519215119907, 86.39035136115332 23.78343951022788, 86.39234726116325 23.78308132203864, 86.39293053292032 23.78132862377677, 86.39492644401204 23.78097038167436, 86.39550970445663 23.77921762612846, 86.39750562662205 23.77885933011731, 86.39808887575182 23.77710651729405, 86.40008480898287 23.77674816737856, 86.40149752278002 23.7781426459018, 86.40349349676332 23.7777842576977, 86.40490625862934 23.77917871017273, 86.40432302414212 23.78093154748284, 86.40232702046407 23.78128992007723, 86.4017437746552 23.78304270011287, 86.39974778203003 23.7834010187999, 86.39916452490185 23.7851537415544, 86.3971685433377 23.7855120063297, 86.39658527489259 23.78726467179638, 86.39799799532858 23.78865908472908, 86.39741472288358 23.7904117051436, 86.39541872268677 23.79076990038351, 86.39483543892614 23.79252246349829, 86.39283944980419 23.79288060481394, 86.39142677414806 23.79148619863729, 86.38943082581542 23.79184430165089, 86.38801819826212 23.79044986942126, 86.38860149664055 23.78869733079859))"
